TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);WURTZ (16) MAT;16 RUE WURTZ;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.344618527667761, 48.82693192147904], ""type"": ""Point""}";48.82693192147904, 2.344618527667761
MATERNELLES (année scolaire 2022/2023);PARMENTIER (111) MAT;111 AVENUE PARMENTIER;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3723859656490562, 48.86793494762904], ""type"": ""Point""}";48.86793494762904, 2.3723859656490562
MATERNELLES (année scolaire 2022/2023);SOUZY (4-12) MAT;4 CITE SOUZY;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3886934164024707, 48.85174106681559], ""type"": ""Point""}";48.85174106681559, 2.3886934164024707
MATERNELLES (année scolaire 2022/2023);ANTOINE CHANTIN (22) MAT;22 RUE ANTOINE CHANTIN;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.322533613806645, 48.827282456211165], ""type"": ""Point""}";48.827282456211165, 2.322533613806645
MATERNELLES (année scolaire 2022/2023);DURANTI (10 B) MAT;10 bis RUE DURANTI;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.383913549304241, 48.860585425834756], ""type"": ""Point""}";48.860585425834756, 2.383913549304241
MATERNELLES (année scolaire 2022/2023);VERSAILLES (141) MAT;141 AVENUE DE VERSAILLES;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2680174330571736, 48.84212000885554], ""type"": ""Point""}";48.84212000885554, 2.2680174330571736
MATERNELLES (année scolaire 2022/2023);ARCHEREAU (63) MAT;63 RUE ARCHEREAU;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3758337556144675, 48.892863039053374], ""type"": ""Point""}";48.892863039053374, 2.3758337556144675
MATERNELLES (année scolaire 2022/2023);MOUFFETARD (97) MAT;97 RUE MOUFFETARD;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.349717592098734, 48.841273662675036], ""type"": ""Point""}";48.841273662675036, 2.349717592098734
MATERNELLES (année scolaire 2022/2023);VICQ D'AZIR (16) POLY;16 RUE VICQ D'AZIR;10ème Ardt;75110;;Polyvalent;"{""coordinates"": [2.3705586931454286, 48.876069592939636], ""type"": ""Point""}";48.876069592939636, 2.3705586931454286
MATERNELLES (année scolaire 2022/2023);ST BENOIT (12) POLY;12 RUE SAINT BENOIT;6ème Ardt;75106;;Polyvalent;"{""coordinates"": [2.333048442224477, 48.85509962285549], ""type"": ""Point""}";48.85509962285549, 2.333048442224477
MATERNELLES (année scolaire 2022/2023);ST DIDIER (15B) POLY;15 bis RUE SAINT DIDIER;16ème Ardt;75116;;Polyvalent;"{""coordinates"": [2.287603099939645, 48.86614055402534], ""type"": ""Point""}";48.86614055402534, 2.287603099939645
MATERNELLES (année scolaire 2022/2023);PERLE (7) MAT;7 RUE DE LA PERLE;3ème Ardt;75103;2022-2023;Maternelle;"{""coordinates"": [2.3613595231393396, 48.85950683957149], ""type"": ""Point""}";48.85950683957149, 2.3613595231393396
MATERNELLES (année scolaire 2022/2023);OLIVIER DE SERRES (34) MAT;34 RUE OLIVIER DE SERRES;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2965269926051577, 48.835507907168534], ""type"": ""Point""}";48.835507907168534, 2.2965269926051577
MATERNELLES (année scolaire 2022/2023);PELLEPORT (166) POLY;166 RUE PELLEPORT;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.3979874549024034, 48.87336492633465], ""type"": ""Point""}";48.87336492633465, 2.3979874549024034
MATERNELLES (année scolaire 2022/2023);PARC DES PRINCES (27) MAT;27 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2547566227893863, 48.840123668054495], ""type"": ""Point""}";48.840123668054495, 2.2547566227893863
MATERNELLES (année scolaire 2022/2023);BESSIERES (90) MAT;90 BOULEVARD BESSIERES;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.3191258464316458, 48.8966554781644], ""type"": ""Point""}";48.8966554781644, 2.3191258464316458
MATERNELLES (année scolaire 2022/2023);GENERAL JEAN-SIMON (31) POLY;31 BOULEVARD DU GENERAL JEAN SIMON;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.3835694843911455, 48.82614483666812], ""type"": ""Point""}";48.82614483666812, 2.3835694843911455
MATERNELLES (année scolaire 2022/2023);PIAT (36) POLY;36 RUE PIAT;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.3848223857345108, 48.87222675535386], ""type"": ""Point""}";48.87222675535386, 2.3848223857345108
MATERNELLES (année scolaire 2022/2023);TCHAIKOVSKI (7) MAT;7 RUE TCHAIKOVSKI;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.364554543133914, 48.89418329402723], ""type"": ""Point""}";48.89418329402723, 2.364554543133914
MATERNELLES (année scolaire 2022/2023);BOUVINES (6) MAT;6 AVENUE DE BOUVINES;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3965802854443, 48.850254767889986], ""type"": ""Point""}";48.850254767889986, 2.3965802854443
MATERNELLES (année scolaire 2022/2023);VAUGIRARD (149) MAT;149 RUE DE VAUGIRARD;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.316087899183691, 48.843913514632035], ""type"": ""Point""}";48.843913514632035, 2.316087899183691
MATERNELLES (année scolaire 2022/2023);GENERAL BRUNET (9) MAT;9 RUE DU GENERAL BRUNET;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.390464622399146, 48.880405406428565], ""type"": ""Point""}";48.880405406428565, 2.390464622399146
MATERNELLES (année scolaire 2022/2023);BALARD (95) MAT;95 RUE BALARD;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2786549536473184, 48.837787585221214], ""type"": ""Point""}";48.837787585221214, 2.2786549536473184
MATERNELLES (année scolaire 2022/2023);MAROC (34) MAT;34 RUE DU MAROC;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3677383571474055, 48.88716202449678], ""type"": ""Point""}";48.88716202449678, 2.3677383571474055
MATERNELLES (année scolaire 2022/2023);LOUISE BOURGEOIS(19) POLY;19 RUE LOUISE BOURGEOIS;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.3792231081235613, 48.82607471323481], ""type"": ""Point""}";48.82607471323481, 2.3792231081235613
MATERNELLES (année scolaire 2022/2023);OLIVIER METRA (31-33) MAT;32 RUE OLIVIER METRA;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.393799457257276, 48.87306925545656], ""type"": ""Point""}";48.87306925545656, 2.393799457257276
MATERNELLES (année scolaire 2022/2023);ST LUC (3) MAT;3 RUE SAINT LUC;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.354178637766867, 48.88563541815778], ""type"": ""Point""}";48.88563541815778, 2.354178637766867
MATERNELLES (année scolaire 2022/2023);JACQUES HILLAIRET (40) MAT;40 RUE JACQUES HILLAIRET;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3888485218292668, 48.84312589825902], ""type"": ""Point""}";48.84312589825902, 2.3888485218292668
MATERNELLES (année scolaire 2022/2023);BALANCHINE (8-10) POLY;8 RUE GEORGE BALANCHINE;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.3736445553251295, 48.836467195826174], ""type"": ""Point""}";48.836467195826174, 2.3736445553251295
MATERNELLES (année scolaire 2022/2023);HOPITAL ST LOUIS (18) MAT;18 RUE DE L'HOPITAL ST LOUIS;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.364626530917536, 48.87543269884432], ""type"": ""Point""}";48.87543269884432, 2.364626530917536
MATERNELLES (année scolaire 2022/2023);VITRUVE (68) MAT;68 RUE VITRUVE;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.406797222388463, 48.85926120243894], ""type"": ""Point""}";48.85926120243894, 2.406797222388463
MATERNELLES (année scolaire 2022/2023);LONGUES RAIES (29) MAT;29 RUE DES LONGUES RAIES;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.34765643185286, 48.82117989869816], ""type"": ""Point""}";48.82117989869816, 2.34765643185286
MATERNELLES (année scolaire 2022/2023);BELLES FEUILLES (3) POLY;3 IMPASSE DES BELLES FEUILLES;16ème Ardt;75116;;Polyvalent;"{""coordinates"": [2.2807781660877846, 48.868835717142865], ""type"": ""Point""}";48.868835717142865, 2.2807781660877846
MATERNELLES (année scolaire 2022/2023);FRANC NOHAIN (9) POLY;9 RUE FRANC NOHAIN;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.3751822013075987, 48.821401135417254], ""type"": ""Point""}";48.821401135417254, 2.3751822013075987
MATERNELLES (année scolaire 2022/2023);PORTE D'IVRY (53) MAT;53 AVENUE DE LA PORTE D'IVRY;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.369492732784261, 48.821185452670576], ""type"": ""Point""}";48.821185452670576, 2.369492732784261
MATERNELLES (année scolaire 2022/2023);BALEINE (5) MAT;5 IMPASSE DE LA BALEINE;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3777540791270133, 48.867205520438795], ""type"": ""Point""}";48.867205520438795, 2.3777540791270133
MATERNELLES (année scolaire 2022/2023);LEPAGE (11) MAT;11 CITE LEPAGE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3713557889557557, 48.880426825311666], ""type"": ""Point""}";48.880426825311666, 2.3713557889557557
MATERNELLES (année scolaire 2022/2023);DISQUE (30) MAT;30 RUE DU DISQUE;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3646259156810836, 48.82566843285391], ""type"": ""Point""}";48.82566843285391, 2.3646259156810836
MATERNELLES (année scolaire 2022/2023);MAURICE ROUVIER (2) MAT;2 RUE MAURICE ROUVIER;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.310572150253057, 48.83060046384505], ""type"": ""Point""}";48.83060046384505, 2.310572150253057
MATERNELLES (année scolaire 2022/2023);FAIDHERBE (18) MAT;18 RUE FAIDHERBE;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3839600736935282, 48.85159555285474], ""type"": ""Point""}";48.85159555285474, 2.3839600736935282
MATERNELLES (année scolaire 2022/2023);MAURICE RIPOCHE (55-61) MAT;55 RUE MAURICE RIPOCHE;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3230557242522005, 48.83323862802616], ""type"": ""Point""}";48.83323862802616, 2.3230557242522005
MATERNELLES (année scolaire 2022/2023);PICPUS (56) MAT;56 RUE DE PICPUS (ECOLE B);12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.396622583993179, 48.84359141551742], ""type"": ""Point""}";48.84359141551742, 2.396622583993179
MATERNELLES (année scolaire 2022/2023);TURENNE (52) MAT;52 RUE DE TURENNE;3ème Ardt;75103;2022-2023;Maternelle;"{""coordinates"": [2.3646137063340795, 48.858422160216655], ""type"": ""Point""}";48.858422160216655, 2.3646137063340795
MATERNELLES (année scolaire 2022/2023);TOURNELLES (21) POLY;21 RUE DES TOURNELLES;4ème Ardt;75104;;Polyvalent;"{""coordinates"": [2.3673903615961445, 48.85432879792764], ""type"": ""Point""}";48.85432879792764, 2.3673903615961445
MATERNELLES (année scolaire 2022/2023);AMIRAUX (19) MAT;19 RUE DES AMIRAUX;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.350400755443511, 48.89461849697415], ""type"": ""Point""}";48.89461849697415, 2.350400755443511
MATERNELLES (année scolaire 2022/2023);DAUTANCOURT (16) MAT;16 RUE DAUTANCOURT;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.3244059541388356, 48.88952282638536], ""type"": ""Point""}";48.88952282638536, 2.3244059541388356
MATERNELLES (année scolaire 2022/2023);ARMAND ROUSSEAU (13) MAT;13 AVENUE ARMAND ROUSSEAU;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.4091531070899768, 48.83651227435612], ""type"": ""Point""}";48.83651227435612, 2.4091531070899768
MATERNELLES (année scolaire 2022/2023);JEAN BOUTON (7) MAT;7 RUE JEAN BOUTON;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3768421263359367, 48.84565118195942], ""type"": ""Point""}";48.84565118195942, 2.3768421263359367
MATERNELLES (année scolaire 2022/2023);PALESTINE (1) MAT;1 RUE DE PALESTINE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.389457135430761, 48.876395766374], ""type"": ""Point""}";48.876395766374, 2.389457135430761
MATERNELLES (année scolaire 2022/2023);DELAMBRE (24) MAT;24 RUE DELAMBRE;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.326808868876013, 48.84159829348391], ""type"": ""Point""}";48.84159829348391, 2.326808868876013
MATERNELLES (année scolaire 2022/2023);SIMPLON (14) POLY;14 RUE SIMPLON;18ème Ardt;75118;;Polyvalent;"{""coordinates"": [2.3514565316595917, 48.89357315361589], ""type"": ""Point""}";48.89357315361589, 2.3514565316595917
MATERNELLES (année scolaire 2022/2023);44 ENFANTS D'IZIEU (2) POLY;2 PLACE DES 44 ENFANTS D'IZIEU;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.3562566111428294, 48.82163734442746], ""type"": ""Point""}";48.82163734442746, 2.3562566111428294
MATERNELLES (année scolaire 2022/2023);PIERRE FONCIN (4) POLY B;4 RUE PIERRE FONCIN;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.4093898611624813, 48.87134728251425], ""type"": ""Point""}";48.87134728251425, 2.4093898611624813
MATERNELLES (année scolaire 2022/2023);CHOMEL (8) POLY;8 RUE CHOMEL;7ème Ardt;75107;;Polyvalent;"{""coordinates"": [2.3255494745445104, 48.85217391881051], ""type"": ""Point""}";48.85217391881051, 2.3255494745445104
MATERNELLES (année scolaire 2022/2023);EUGENIE COTTON (20) MAT;20 RUE EUGENIE COTTON;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3950411328645584, 48.87880036365956], ""type"": ""Point""}";48.87880036365956, 2.3950411328645584
MATERNELLES (année scolaire 2022/2023);ARMAND CARREL (47) MAT;47 RUE ARMAND CARREL;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.375784996693515, 48.88269976980857], ""type"": ""Point""}";48.88269976980857, 2.375784996693515
MATERNELLES (année scolaire 2022/2023);VITRUVE (61) MAT;61 RUE VITRUVE;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.407038951132291, 48.85951672684382], ""type"": ""Point""}";48.85951672684382, 2.407038951132291
MATERNELLES (année scolaire 2022/2023);TOURELLES (5/7) POLY;5 RUE DES TOURELLES;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.404086116145681, 48.87473729137813], ""type"": ""Point""}";48.87473729137813, 2.404086116145681
MATERNELLES (année scolaire 2022/2023);JOSEPH DE MAISTRE (94) MAT;94 RUE JOSEPH DE MAISTRE;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.330324707554502, 48.89328502795117], ""type"": ""Point""}";48.89328502795117, 2.330324707554502
MATERNELLES (année scolaire 2022/2023);GUSTAVE ROUANET (1) MAT;1 RUE GUSTAVE ROUANET;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.341541508231377, 48.89630661579061], ""type"": ""Point""}";48.89630661579061, 2.341541508231377
MATERNELLES (année scolaire 2022/2023);HOSPITAL. ST GERVAIS (10) POLY;10 R HOSPITALIERES ST GERVAIS;4ème Ardt;75104;;Polyvalent;"{""coordinates"": [2.3591417819637286, 48.85791478449449], ""type"": ""Point""}";48.85791478449449, 2.3591417819637286
MATERNELLES (année scolaire 2022/2023);SERGE PROKOFIEV (18) MAT;18 RUE SERGE PROKOFIEV;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2680199888586117, 48.85427581674809], ""type"": ""Point""}";48.85427581674809, 2.2680199888586117
MATERNELLES (année scolaire 2022/2023);PARMENTIER (155) MAT;155 AVENUE PARMENTIER;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.3697138742502086, 48.871546803145414], ""type"": ""Point""}";48.871546803145414, 2.3697138742502086
MATERNELLES (année scolaire 2022/2023);CENDRIERS (20) MAT;20 RUE DES CENDRIERS;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3868861755356465, 48.86553823798571], ""type"": ""Point""}";48.86553823798571, 2.3868861755356465
MATERNELLES (année scolaire 2022/2023);PAUL ABADIE (1) MAT;1 RUE PAUL ABADIE;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3353798643758124, 48.89678109226198], ""type"": ""Point""}";48.89678109226198, 2.3353798643758124
MATERNELLES (année scolaire 2022/2023);ARCHEREAU (58) MAT;58 RUE ARCHEREAU;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3758189433980657, 48.892616094135704], ""type"": ""Point""}";48.892616094135704, 2.3758189433980657
MATERNELLES (année scolaire 2022/2023);FESSART (36) MAT;36 , RUE FESSART;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.384559163669412, 48.87686359680913], ""type"": ""Point""}";48.87686359680913, 2.384559163669412
MATERNELLES (année scolaire 2022/2023);SOURDIERE (27) MAT;27 RUE DE LA SOURDIERE;1er Ardt;75101;2022-2023;Maternelle;"{""coordinates"": [2.3327061465965726, 48.866700680531174], ""type"": ""Point""}";48.866700680531174, 2.3327061465965726
MATERNELLES (année scolaire 2022/2023);VIOLET (38) MAT;38 RUE VIOLET;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2928549748661577, 48.84750408293091], ""type"": ""Point""}";48.84750408293091, 2.2928549748661577
MATERNELLES (année scolaire 2022/2023);ARCHEREAU (26) MAT;26 RUE ARCHEREAU;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3734492916377015, 48.8902454147388], ""type"": ""Point""}";48.8902454147388, 2.3734492916377015
MATERNELLES (année scolaire 2022/2023);HENRI NOGUERES (10) POLY;10 RUE HENRI NOGUERES;19ème Ardt;75119;;Polyvalent;"{""coordinates"": [2.3746839087651463, 48.88463842304931], ""type"": ""Point""}";48.88463842304931, 2.3746839087651463
MATERNELLES (année scolaire 2022/2023);LE VAU (8) MAT;8 RUE LE VAU;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.411400845020113, 48.86636875700862], ""type"": ""Point""}";48.86636875700862, 2.411400845020113
MATERNELLES (année scolaire 2022/2023);LAMARCK (4) MAT;4 SQUARE LAMARCK;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3358105724238714, 48.89077288473815], ""type"": ""Point""}";48.89077288473815, 2.3358105724238714
MATERNELLES (année scolaire 2022/2023);POULLETIER (18) MAT;18 RUE POULLETIER;4ème Ardt;75104;2022-2023;Maternelle;"{""coordinates"": [2.3583141395507186, 48.85147073607516], ""type"": ""Point""}";48.85147073607516, 2.3583141395507186
MATERNELLES (année scolaire 2022/2023);BOY  ZELENSKI (5) MAT;5 RUE BOY ZELENSKI;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.36788662396696, 48.87683463546491], ""type"": ""Point""}";48.87683463546491, 2.36788662396696
MATERNELLES (année scolaire 2022/2023);MARGUERITE LONG (5) POLY;5 RUE MARGUERITE LONG;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.304519099872852, 48.89101309347151], ""type"": ""Point""}";48.89101309347151, 2.304519099872852
MATERNELLES (année scolaire 2022/2023);CHAPON (25) MAT;25 RUE CHAPON;3ème Ardt;75103;2022-2023;Maternelle;"{""coordinates"": [2.3551721155360243, 48.86362012574478], ""type"": ""Point""}";48.86362012574478, 2.3551721155360243
MATERNELLES (année scolaire 2022/2023);ROQUEPINE (16) MAT;16 RUE ROQUEPINE;8ème Ardt;75108;2022-2023;Maternelle;"{""coordinates"": [2.318497869053551, 48.87335071943499], ""type"": ""Point""}";48.87335071943499, 2.318497869053551
MATERNELLES (année scolaire 2022/2023);DEPARTEMENT (51) MAT;51 RUE DU DEPARTEMENT;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.361872957417844, 48.88647962509409], ""type"": ""Point""}";48.88647962509409, 2.361872957417844
MATERNELLES (année scolaire 2022/2023);LAHIRE (13) MAT;13 RUE LAHIRE;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3664610451653667, 48.82965725478757], ""type"": ""Point""}";48.82965725478757, 2.3664610451653667
MATERNELLES (année scolaire 2022/2023);CONVENTION (78) POLY;78 RUE DE LA CONVENTION;15ème Ardt;75115;;Polyvalent;"{""coordinates"": [2.2847863656369185, 48.84239912308548], ""type"": ""Point""}";48.84239912308548, 2.2847863656369185
MATERNELLES (année scolaire 2022/2023);MOURAUD (9) MAT;9 RUE MOURAUD;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.4074930731619624, 48.854931628609414], ""type"": ""Point""}";48.854931628609414, 2.4074930731619624
MATERNELLES (année scolaire 2022/2023);ST ANDRE DES ARTS (39) MAT;39 RUE SAINT ANDRE DES ARTS;6ème Ardt;75106;2022-2023;Maternelle;"{""coordinates"": [2.3413056192165023, 48.85327367373054], ""type"": ""Point""}";48.85327367373054, 2.3413056192165023
MATERNELLES (année scolaire 2022/2023);RUISSEAU (6) MAT;6 RUE DU RUISSEAU;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3398615476756537, 48.891715709081886], ""type"": ""Point""}";48.891715709081886, 2.3398615476756537
MATERNELLES (année scolaire 2022/2023);ROCHECHOUART (68) MAT;68 RUE DE ROCHECHOUART;9ème Ardt;75109;2022-2023;Maternelle;"{""coordinates"": [2.346594385299589, 48.881386665636555], ""type"": ""Point""}";48.881386665636555, 2.346594385299589
MATERNELLES (année scolaire 2022/2023);GILBERT CESBRON (1) POLY;1 RUE GILBERT CESBRON;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.3141714544791356, 48.89340359717558], ""type"": ""Point""}";48.89340359717558, 2.3141714544791356
MATERNELLES (année scolaire 2022/2023);MOUSSY (9) POLY;9 RUE DE MOUSSY;4ème Ardt;75104;;Polyvalent;"{""coordinates"": [2.355622850347276, 48.857756219209755], ""type"": ""Point""}";48.857756219209755, 2.355622850347276
MATERNELLES (année scolaire 2022/2023);ALQUIER DEBROUSSE (12) POLY;12 ALLEE ALQUIER DEBROUSSE;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.4083763117233428, 48.86126569638179], ""type"": ""Point""}";48.86126569638179, 2.4083763117233428
MATERNELLES (année scolaire 2022/2023);POISSY (27) MAT;27 RUE DE POISSY;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.3522779256679183, 48.84859293787835], ""type"": ""Point""}";48.84859293787835, 2.3522779256679183
